12938,THALAVADI,Erode ,Thalavadi,TAMIL NADU,0101000020E6100000B9686DBFE1425340B79091FD3D542740
12939,KANKER,Kanker ,Kanker,CHHATTISGARH,0101000020E61000008C214AC5905F5440E523CE2FEF443440
12940,KARAMADAI,Mettupalayam,Karamadai,TAMIL NADU,0101000020E6100000F25AAE23333C5340D99B734B067B2640
12941,UTHANGARAI,Krishnagiri,Uthangarai,TAMIL NADU,0101000020E610000036A010C79B9F5340B47F5479F18C2840
12942,VALATHI,Villupuram,Gingee,TAMIL NADU,0101000020E61000004A5C6CFF6FD75340EE7D05C47FB12840
12943,RUDAULI,Rudauli,Rudauli,UTTAR PRADESH,0101000020E6100000A01CA25D876D544039EC63AA05BA3A40
12944,KUSHI NAGAR,Kushinagar,Kasia​,UTTAR PRADESH,0101000020E61000005B4D8D8642F85440F997EEBFDFBD3A40
12945,BEHROR,Behror,Behror,RAJASTHAN,0101000020E6100000153D4BEB4A12534096CA8058DBE33B40
12946,HOSUR,Krishnagiri,Hosur,TAMIL NADU,0101000020E61000008BF3812EAB7453408712D2BFC96F2940
12947,SULUR,Sulur,Kannampalayam,TAMIL NADU,0101000020E6100000AA05BCED7E465340977A713D65FA2540
12948,CHANDPUR,Chandpur,Chandpur,UTTAR PRADESH,0101000020E610000041DC0F57929253409B2386787F243D40
12949,THONDAMUTHUR,Coimbatore South,Thondamuthur,TAMIL NADU,0101000020E61000008A17B089F135534031ED9BFBABFB2540
12950,CHIRGAON,Tahrauli,Chirgaon,UTTAR PRADESH,0101000020E6100000FF6959AD02B453405E5A1EB5D3923940
12951,ALANGULAM,Alangulam,Alangulam,TAMIL NADU,0101000020E61000006F0CA6063F5F5340898BEDFF2DB82140
12952,CONNOOR,Connoor,Wellington Cantonment,TAMIL NADU,0101000020E6100000FA36B34CF5315340FE96A542E1B82640
12953,MELAGHAR,Melaghar Urban,Melaghar,TRIPURA,0101000020E61000008544DAC61FD556407CCBE6BBA57E3740
12954,MANGALAMAMANDOOR,Tiruvannamalai,Vandavasi,TAMIL NADU,0101000020E6100000ADC1FBAADC64534070815F7E02EF2940
12955,THATHAIYANGARPETTAI,Thuraiyur,Murukur,TAMIL NADU,0101000020E610000049861C5B4F9B5340A174D8333A3E2640
12956,UTTARIPURA,Kanpur Dehat,Akbarpur,UTTAR PRADESH,0101000020E61000009D514E0FE5115440E2AE5E45467D3A40
12957,KADAMBUR,Kovilpatti,Kadambur,TAMIL NADU,0101000020E6100000C60ECFB72A77534007F6F301DCFF2140
12958,PUGAL ROAD,Bikaner,Bikaner,RAJASTHAN,0101000020E61000000B8E1E0154545240BF3AD8AC44073C40
12959,MUKHIGUDA,Jayapatna,Mukhiguda,ODISHA,0101000020E6100000E100440B9AB65440186426ACE8703340
12960,BUMHAMA,Kupwara,Kupwara,JAMMU AND KASHMIR,0101000020E6100000177BD404769052405453927538414140
12961,POONTHOTTAM,Valangaiman,Poonthottam,TAMIL NADU,0101000020E61000008C2661F0FAD85340888043A852A72540
12962,GOVINDGARH,Chomu ,Govindgarh,RAJASTHAN,0101000020E61000000BEA002D82985240B3B85A82E7733A40
12963,THAMMAMPATTI,Gangavalli,Thammampatti,TAMIL NADU,0101000020E610000053F06F2B189F5340E09744076EE22640
12964,RURA,Akbarpur,Rura,UTTAR PRADESH,0101000020E6100000EF703B34ACF95340F47002D3697D3A40
12965,VEDHARANYAM,Kilvelur,Sadayan Kottagam,TAMIL NADU,0101000020E6100000D7110BA584F35340370AFFD8DA252540
12966,DHORIMANNA,Dhorimanna Tehsil,Dhorimanna,RAJASTHAN,0101000020E61000001564158010DC51401A41199936343940
12906,AVINASHI,Tiruppur,Avinashi,TAMIL NADU,0101000020E61000004D3FA88B14515340BB4E8935A6612640
10839,GANGAPUR-RJ,Bhilwara,Gangapur,RAJASTHAN,0101000020E61000003089F44D902C53403F5EE0FCE7813A40
10603,NASHIK,Nashik,Nashik,MAHARASHTRA,0101000020E61000001EB8A591E17252403679C42E9E073440
13084,TELHARA,Akola,TELHARA,MAHARASHTRA,0101000020E6100000BF130E187F375340795D1A1AAA093540
12134,GARAURA,Jaunpur,Gadaura,UTTAR PRADESH,0101000020E6100000624216B3EF9654406F2F698CD6713940
12135,MALEGAON,Nashik ,Malegaon Taluka,MAHARASHTRA,0101000020E61000003D3377E393A15240FD0BA947BF8E3440
12136,GANDACHERRA,Dhalai,Gandacherra,TRIPURA,0101000020E6100000234097BA75F456403291D26C1E9B3740
10562,GANGAPUR,Aurangabad,Gangapur Tehsil,MAHARASHTRA,0101000020E6100000334497DF21C052402E34D4F783B43340
12999,SAONER,Nagpur,SAONER,MAHARASHTRA,0101000020E610000071E7FBA9F1BA53406D567DAEB6623540
13011,BABHULGAON,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,MAHARASHTRA,0101000020E6100000E502E154353F5340CB2B7C22F4DC3340
13012,WAI,Viluppuram,Marakanam,MAHARASHTRA,0101000020E61000003999B85510785240F6083543AAF23140
13013,ARMORI DESAIGANJ,Gadchiroli,Armori,MAHARASHTRA,0101000020E6100000235C12B1D2FC534034F6251B0F783440
13014,KALIYAKAVILAI,Kanyakumari,Vilavancode,TAMIL NADU,0101000020E610000038DFE3A7CC4A5340248BEA63F4AA2040
13015,UMARGA,Osmanabad,Umarga,MAHARASHTRA,0101000020E61000001B6899A06127534000B3D6AB23D63140
13086,NARSINGPUR,Narsinghpur,Narsinghpur,MADHYA PRADESH,0101000020E61000009882DA14B4CD5340270DDA50D6F03640
13088,MEHEKAR,Buldana,Mehekar,MAHARASHTRA,0101000020E61000000A2E56D4602453404A0C022B87263440
12975,SENGAON,Hingoli,Sengaon,MAHARASHTRA,0101000020E61000008D7C5EF1D4325340BD3AC780ECD13340
12976,CHANDWAD,Washi,Chandwad,MAHARASHTRA,0101000020E6100000889CBE9EAFE8524094BF7B478D993240
12977,BAGHTY APMC,Wokha,Baghty,NAGALAND,0101000020E6100000AF94658863895740151DC9E53F143A40
12978,DABLIRATHAN,Hanumangarh Tehsil,DABLIRATHAN,RAJASTHAN,0101000020E6100000C6FA0626378C524055DB4DF04D8B3D40
12979,MOOTHUR,Tiruppur,Kangeyam,TAMIL NADU,0101000020E6100000F7065F984C6553407C61325530EA2540
12980,PACHAAR,Pulwama,Pulwama,JAMMU AND KASHMIR,0101000020E61000004CA60A4625B9524048E17A14AEEF4040
12981,BHUSAWAR VEIR,Bharatpur,Bhusawar,RAJASTHAN,0101000020E6100000B37BF2B05043534027A089B0E1093B40
12982,SAMRANIA,Shahbad Tehsil,SAMRANIA,RAJASTHAN,0101000020E610000086A92D75904053402026E1421E253940
13004,CHHATRAPATI SAMBHAJINAGAR,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,MAHARASHTRA,0101000020E610000093832392B2D55240A8FDD64E94E03340
13005,MARAKKANAM,Viluppuram,Marakanam,TAMIL NADU,0101000020E6100000697EEB796DFC5340C5701A4751642840
